Date,Volume ,Open,High,Low,Close,News
1/3/2011,6729,3654,3669,3628,3654,
1/4/2011,6776,3647,3713,3614,3647,Good
1/5/2011,13129,3633,3659,3598,3633,Bad
1/6/2011,11863,3685,3702,3653,3685,Horrible
1/7/2011,17658,3602,3655,3567,3601,Terrible
1/10/2011,10650,3573,3615,3538,3573,Loss
1/11/2011,11125,3543,3567,3508,3542,Death
1/12/2011,7160,3486,3542,3421,3486,not confident
1/13/2011,2944,3472,3516,3448,3472,Confident
1/14/2011,2368,3483,3508,3452,3483,
1/17/2011,1227,3470,3505,3429,3470,
1/18/2011,1837,3464,3487,3423,3464,
1/19/2011,3281,3538,3551,3509,3538,
1/21/2011,1260,3583,3614,3527,3583,
1/24/2011,1810,3608,3652,3561,3608,
1/25/2011,3190,3523,3552,3501,3523,
1/26/2011,1781,3464,3503,3428,3464,
1/27/2011,1833,3513,3532,3477,3513,
1/28/2011,1172,3521,3533,3495,3521,
1/31/2011,1910,3583,3631,3556,3583,
2/2/2011,864,3716,3730,3676,3717,
2/7/2011,2994,3713,3746,3697,3713,
2/8/2011,2860,3676,3724,3656,3676,
2/9/2011,3433,3745,3772,3707,3745,
2/10/2011,2578,3753,3801,3722,3753,
2/11/2011,1902,3758,3791,3738,3758,
2/14/2011,3260,3761,3778,3743,3760,
2/16/2011,11703,3653,3693,3612,3652,
2/17/2011,16742,3576,3651,3519,3576,
2/18/2011,16129,3578,3656,3531,3578,
2/21/2011,11407,3531,3549,3492,3531,Good
2/22/2011,13795,3540,3575,3510,3540,Bad
2/23/2011,16587,3396,3429,3374,3396,Horrible
2/24/2011,27351,3316,3421,3207,3316,Terrible
2/25/2011,16027,3360,3412,3294,3361,Loss
2/28/2011,16891,3402,3462,3318,3401,Death
3/1/2011,13506,3389,3433,3321,3389,not confident
3/2/2011,20891,3461,3500,3377,3462,Confident
3/3/2011,14839,3479,3519,3435,3479,
3/4/2011,10593,3506,3536,3458,3506,
3/7/2011,8414,3555,3571,3531,3555,
3/8/2011,13849,3477,3536,3442,3477,
3/9/2011,8931,3454,3490,3428,3454,
3/10/2011,16952,3350,3403,3312,3350,
3/11/2011,19837,3310,3354,3227,3310,
3/14/2011,19886,3190,3230,3152,3190,
3/15/2011,16991,3216,3291,3121,3216,
3/16/2011,5983,3203,3254,3161,3203,
3/17/2011,2889,3230,3256,3201,3230,
3/18/2011,1272,3298,3334,3271,3298,
3/21/2011,2187,3332,3366,3306,3332,
3/22/2011,2340,3240,3286,3186,3240,
3/23/2011,1862,3230,3256,3199,3230,Good
3/24/2011,3898,3122,3181,3061,3121,Bad
3/25/2011,3715,3168,3218,3113,3168,Horrible
3/28/2011,2484,3171,3198,3150,3171,Terrible
3/29/2011,2235,3150,3181,3117,3150,Loss
3/30/2011,2743,3193,3216,3170,3193,Death
3/31/2011,3406,3214,3231,3184,3214,not confident
4/1/2011,2364,3256,3273,3235,3256,Confident
4/4/2011,1892,3273,3286,3248,3274,
4/5/2011,2186,3260,3296,3234,3260,
4/6/2011,1473,3275,3290,3256,3274,
4/7/2011,1869,3238,3257,3215,3238,
4/8/2011,3600,3264,3296,3219,3265,
4/11/2011,4061,3319,3351,3277,3319,
4/12/2011,3376,3268,3287,3245,3268,
4/13/2011,4570,3225,3248,3202,3225,
4/14/2011,3516,3219,3258,3179,3219,
4/15/2011,2955,3162,3206,3125,3162,
4/18/2011,9160,3148,3171,3123,3148,
4/19/2011,9320,3141,3165,3118,3141,
4/20/2011,15899,3204,3242,3171,3204,
4/21/2011,8751,3227,3238,3206,3227,
4/22/2011,13041,3255,3281,3222,3255,
4/25/2011,7275,3269,3290,3249,3269,Good
4/26/2011,8646,3221,3248,3197,3221,Bad
4/27/2011,9633,3196,3226,3183,3196,Horrible
4/28/2011,8564,3217,3230,3194,3217,Terrible
4/29/2011,10743,3162,3181,3143,3162,Loss
5/3/2011,6142,3196,3211,3177,3196,Death
5/4/2011,10428,3163,3178,3134,3163,not confident
5/5/2011,9053,3180,3197,3135,3179,Confident
5/6/2011,17841,3087,3108,3054,3087,
5/9/2011,11427,3132,3158,3098,3132,
5/10/2011,8718,3174,3188,3149,3174,
5/11/2011,8817,3175,3189,3163,3175,
5/12/2011,12155,3153,3183,3123,3153,
5/13/2011,11965,3171,3198,3135,3171,
5/16/2011,2961,3198,3219,3161,3198,
5/18/2011,3275,3244,3251,3226,3244,
5/19/2011,2806,3276,3302,3255,3276,
5/20/2011,2251,3317,3341,3283,3317,
5/23/2011,1745,3303,3336,3282,3303,
5/24/2011,2609,3315,3324,3306,3315,
5/25/2011,1705,3315,3356,3284,3315,
5/26/2011,1081,3355,3376,3336,3355,
5/27/2011,2507,3363,3376,3345,3363,
5/30/2011,1503,3361,3382,3329,3361,
5/31/2011,2690,3335,3356,3308,3335,
6/1/2011,2155,3305,3329,3285,3305,
6/2/2011,2303,3310,3342,3277,3310,
6/3/2011,2955,3378,3402,3359,3378,
6/6/2011,1523,3349,3375,3327,3349,
6/7/2011,2986,3310,3336,3288,3310,
6/8/2011,2731,3277,3319,3258,3277,
6/9/2011,3911,3263,3294,3160,3262,
6/10/2011,3640,3202,3242,3177,3202,
6/13/2011,5414,3187,3211,3149,3187,
6/14/2011,3562,3207,3225,3187,3207,
6/15/2011,3636,3214,3232,3192,3214,
6/16/2011,10890,3178,3214,3142,3178,
6/17/2011,14112,3137,3163,3112,3137,
6/20/2011,11078,3157,3170,3138,3157,
6/21/2011,7859,3163,3179,3152,3163,
6/22/2011,13951,3160,3186,3127,3160,
6/23/2011,12639,3106,3127,3079,3106,
6/24/2011,16635,3072,3095,3052,3072,
6/27/2011,15299,3035,3050,2987,3034,
6/28/2011,11427,3016,3033,2994,3016,
6/29/2011,8610,3053,3064,3036,3053,
6/30/2011,12393,3061,3085,3014,3061,
7/1/2011,13138,2997,3014,2980,2997,
7/4/2011,10443,3016,3033,2994,3016,
7/5/2011,13149,2985,3005,2972,2985,
7/6/2011,12612,2984,3000,2965,2984,
7/7/2011,9603,2998,3013,2980,2998,
7/8/2011,12833,3038,3059,3022,3038,
7/11/2011,9409,3027,3052,3004,3027,
7/12/2011,12318,2991,3007,2980,2991,
7/13/2011,9263,3024,3044,3004,3024,
7/14/2011,12390,3074,3094,3058,3074,
7/15/2011,9386,3075,3087,3064,3075,
7/18/2011,3425,3054,3097,3026,3054,
7/19/2011,1974,3053,3077,3019,3053,
7/20/2011,1918,3089,3113,3039,3089,
7/21/2011,1274,3103,3121,3087,3103,Good
7/22/2011,1508,3097,3109,3079,3097,Bad
7/25/2011,1433,3059,3082,3043,3059,Horrible
7/26/2011,1121,3070,3084,3053,3071,Terrible
7/27/2011,2157,3090,3097,3082,3090,Loss
